PACIENTU_SKAICIUS_VISO;APMOKAMU_PASLAUGU_SKAICIUS;SUMA_BALAIS_VISO;SUMA_VISO_eurai
16318;33385;732471,8;732471,8
FULL_PATH;LYGIS;REIKIA_RODYTI;STRAIPSNIS;KODAS;ID;REIKIA_DETALIZUOTI;PACIENTU_SKAICIUS1;APMOKAMU_PASLAUGU_SKAICIUS1;SUMA_BALAIS_VISO1;SUMA_VISO1_eurai;LAIKOTARPIS1;PAS_TIPAS1;PAS_LYGIS;SKBSTR_ID;REIKIA_DETALIZUOTI1;PAS_KODAS1;PAS_PAVAD1;BALO_VERTE1;BAZINE_KAINA_BALAIS1;PACIENTU_SKAICIUS2;APMOKAMU_PASLAUGU_SKAICIUS2;SUMA_BALAIS_VISO2;SUMA_VISO2_eurai
 > 01;1;T;    01 - Asmens sveikatos prieþiûros paslaugoms;01;2;N;16318;33385;732471,8;732471,8;;
 > 01 > 0104;2;T;        0104 - Ambulatorinëms asmens sveikatos prieþiûros paslaugoms;0104;18;N;16318;33385;732471,8;732471,8;;
 > 01 > 0104 > 010401;3;T;            010401 - Ambulatorinëms specializuotoms asmens sveikatos prieþiûros paslaugoms;010401;19;N;13860;28839;515598,94;515598,94;;
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1555;Endokrinologo;1;18,71;74;79;1478,09;1478,09
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1559;Kardiologo;1;18,71;6;6;112,26;112,26
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1576;Akuðerio ginekologo;1;15,26;3;3;45,78;45,78
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1579;Chirurgo;1;15,26;11;11;167,86;167,86
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1583;Echoskopuotojo;1;18,92;324;530;10027,6;10027,6
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1584;Endoskopuotojo;1;18,92;49;49;927,08;927,08
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1595;Neurologo;1;15,26;83;84;1281,84;1281,84
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1598;Onkologo chemioterapeuto;1;15,26;21;22;335,72;335,72
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1602;Ortopedo traumatologo;1;15,26;175;179;2731,54;2731,54
 > 01 > 0104 > 010401 > 01040101;4;T;                01040101 - gydytojø specialistø konsultacijoms;01040101;537;T;10980;25197;416123,75;416123,75;2019-01;1;2;537;T;1603;Otorinolaringologo;1;15,26;91;91;1388,66;1388,66
